,id,station_no,status_id,time_zone,id_aero,id_imo,id_marine,id_wmo,id_hydro,id_aust,id_niwa,id_niwa_agent,comments,country_code,start_date,end_date,ht_aero,ht_elev,ht_ssb,latitude,longitude,name_primary,name_secondary,region,catchment,authority,lu_0_100m,lu_100m_1km,lu_1km_10km,soil_type,surface_type,critical_river_height
0,177,75900,1,SAM,NSFA,,,91759,,,J75900,6031,,WS,1905-09-05,,,3.0,,-13.8167,-171.9833,Faleolo Intl,Climate,Upolu,,SMD,5.0,,,,5.0,
1,178,75901,1,SAM,,,,,,,J75901,6032,,WS,1905-06-02,,,270.0,,-13.8,-171.9333,Fasitoo Uta,Rainfall,Upolu,,SMD,,,,,,
3,180,75903,1,SAM,,,,,,,,,,WS,1905-05-23,,,65.0,,-13.95,-171.9167,Matautu Lefaga,Rainfall,Upolu,,SMD,,,,,,
5,182,75905,1,SAM,,,,,,,,,,WS,1905-06-17,,,56.0,,-14.0833,-171.5833,Salani Falealili,Rainfall,Upolu,,SMD,,,,,,
6,183,75906,1,SAM,,,,,,,,,,WS,1905-06-17,,,45.0,,-13.9833,-171.8333,Nuusuatia,Rainfall,Upolu,,SMD,,,,,,
7,184,75907,1,SAM,,,,,,,,,,WS,1905-06-17,,,210.0,,-13.8333,-171.9167,Leauvaa Uta,Rainfall,Upolu,,SMD,,,,,,
8,185,75908,1,SAM,,,,,,,,,,WS,1905-06-17,,,270.0,,-14.0,-171.4833,Tiavea Uta,Rainfall,Upolu,,SMD,,,,,,
10,187,75911,1,SAM,,,,,,,,,,WS,1905-05-23,,,60.0,,-13.9167,-171.6167,Sauniatu,Rainfall,Upolu,,SMD,,,,,,
15,192,75922,1,SAM,,,,,,,,,,WS,1905-06-16,,,6.0,,-13.65,-171.7667,Savalalo,Rainfall,Upolu,,SMD,,,,,,
17,194,75924,1,SAM,,,,,,,,,Testing,WS,1905-06-14,,,8.0,,-13.9,-172.05,Samatau,Rainfall,Upolu,,SMD,,,,,,
30,198,76000,1,SAM,,,,,,,J76000,6035,,WS,1905-06-19,,,25.0,,-13.4833,-172.7667,Asau,Climate,Savaii,,SMD,,,,,5.0,
31,199,76001,2,SAM,,,,91755,,,J76001,6036,,WS,1905-05-28,,,386.0,,-13.5333,-172.65,Asau Forestry,Climate,Savaii,,SMD,,,,,,
34,202,76004,1,SAM,,,,,,,J76004,6039,,WS,1905-03-17,,,22.0,,-13.7833,-172.58,Salailua,Rainfall,Savaii,,SMD,,,,,,
35,203,76005,2,SAM,,,,,,,J76005,6040,,WS,1924-01-31,,,6.0,,-13.75,-172.317,Satupaitea,Rainfall,Savaii,,SMD,,,,,,
36,204,76006,2,SAM,,,,,,,J76006,6041,,WS,1923-12-31,1985-05-26,,3.0,,-13.434,-172.345,Fagamalo,Rainfall,Savaii,,SMD,,,,,,
37,205,76007,1,SAM,,,,,,,,,,WS,1905-03-19,,,12.0,,-13.75,-172.3,Vaitoomuli,Rainfall,Savaii,,SMD,,,,,,
39,207,76009,1,SAM,,,,,,,,,,WS,1905-03-27,,,25.0,,-13.7833,-172.5,Taga,Rainfall,Savaii,,SMD,,,,,,
40,208,76010,2,SAM,,,,,,,,,,WS,1905-06-14,2001-12-31,,44.0,,-13.4833,-172.4667,Matavai,Rainfall,Savaii,,SMD,,,,,,
41,209,76011,2,SAM,,,,,,,,,,WS,1905-06-19,,,3.0,,-13.5833,-172.2,Fatausi,Rainfall,Savaii,,SMD,,,,,,
42,210,76012,1,SAM,,,,,,,,,,WS,1905-06-17,,,65.0,,-13.5667,-172.75,Letui,Rainfall,Savaii,,SMD,,,,,,
